state,year,mean_cover_pct,pct_very_low,pct_low,pct_moderate,pct_high,pct_very_high
ANDAMAN & NICOBAR,2001,96.65111926398978,0.006932711419144831,0.003999511631714034,0.08844397952384282,0.8034046394205525,99.09721915800472
ANDHRA PRADESH,2001,78.59966034107408,0.14338683881132927,1.2433942188539115,8.25302841185128,36.608411482232306,53.75177904825124
ARUNACHAL PRADESH,2001,87.06606974642737,0.04681205216519181,3.5496796441133767,3.427726501319508,9.867155076268022,83.10862672613388
ASSAM,2001,86.54781709890271,0.4446180008731709,2.460030808638824,2.0634134428051962,10.995591618285214,84.03634612939756
BIHAR,2001,71.8586602992701,0.7971517790065633,1.639927916128751,12.397801465675283,52.76048660698144,32.40463223220797
CHANDIGARH,2001,67.50408290185639,0.0,0.3845818913908546,20.12397983977285,68.58725643465249,10.904181834183827
CHHATTISGARH,2001,80.03123489902946,0.08336663647460539,0.5949520136581825,8.712673805112523,28.05356018104868,62.55544736370599
DADRA & NAGAR HAVELI & DAMAN & DIU,2001,77.02554992667294,0.24106170284276385,1.2246393879163713,6.89175959875871,45.73902995163058,45.90350935885155
DELHI,2001,52.127262681217374,1.9175002543034791,16.78688521199735,45.78900528292743,33.770986753272204,1.7356224974995103
GOA,2001,89.06788984451819,0.03498729122249773,0.1633303540473565,2.586529333400458,10.829777721539378,86.3853752997903
GUJARAT,2001,58.35727277231133,12.347883782846733,4.864215109113279,21.358757846496044,51.296153227812404,10.132990033731563
HARYANA,2001,64.49010715134717,0.44099844688850476,5.718898308915095,20.099112933551464,65.68131652708811,8.059673783556805
HIMACHAL PRADESH,2001,59.90912564728469,11.9435050014872,21.093901414491782,6.340308677183831,23.185642275175546,37.43664263166167
JAMMU AND KASHMIR,2001,71.6231188279206,1.772377836826311,6.612988851684505,7.135829605932035,46.134793851205956,38.34400985435123
JHARKHAND,2001,74.81305440394523,0.12372232737862246,0.7325958836921544,10.973935384092831,44.682349918973074,43.487396485863314
KARNATAKA,2001,79.65478591102362,0.0506509351362325,0.21066092273776987,2.318905637489397,53.27916649305063,44.140616011585934
KERALA,2001,93.8271471699339,0.002461076992245086,0.009685298731258498,0.3430006841180541,2.962073787569852,96.68277915258862
LADAKH,2001,31.494745968140005,17.811091997146086,63.773237416904685,12.016943963234155,5.084377328632163,1.314349294082921
LAKSHADWEEP,2001,89.89939915941106,1.0159001897206426,0.2344549083180453,1.6707502495755564,11.09224374591305,85.9866509064727
MADHYA PRADESH,2001,75.20119072576016,0.06247189986265853,1.3612223343805177,10.858859114315763,43.94919222967494,43.768254421766095
MAHARASHTRA,2001,78.22832508226901,0.10498635507631235,0.3075142995412368,2.256734377454479,55.49620780131047,41.834557166617486
MANIPUR,2001,95.47879366932234,0.0,0.0013999475223318333,0.7279758421512782,3.947447684741793,95.3231765255846
MEGHALAYA,2001,94.439181143461,0.00221143268651931,0.012883705034736558,0.21389974440775497,1.9409003332958337,97.83010478457518
MIZORAM,2001,98.48834893611908,0.0,0.0,0.012422488227215622,0.07592775680007385,99.91164975497271
NAGALAND,2001,95.41200539945554,0.0,0.004890715511727035,0.037388313600883766,0.6937124102698857,99.2640085606175
ODISHA,2001,81.36504040867358,0.27738080502727336,0.5920380217883598,6.048854274720671,29.56689333784305,63.51483356062069
PUDUCHERRY,2001,81.06157649505883,0.01652438857315983,0.8363188387218887,4.6794574737855115,24.87295702296278,69.59474227595668
PUNJAB,2001,73.94290005889803,0.07009973153449513,1.5021432218470416,4.732240340026649,65.14833002391795,28.54718668267387
RAJASTHAN,2001,45.278015703663414,21.86979897256764,10.509706956412078,37.34531590655197,22.91093538412805,7.364242780340252
SIKKIM,2001,68.36578394556068,0.059138388592710846,23.792743651302708,9.148807338186746,17.684591884503973,49.31471873741387
TAMIL NADU,2001,81.00469916270033,0.0589573817413512,0.8750075602243745,3.693327781249431,33.4094499976509,61.963257279133884
TELANGANA,2001,78.5738171032066,0.20415579297744518,0.5718320551450609,5.742956177371852,41.149335802068826,52.33172017243677
TRIPURA,2001,95.56457523707857,0.0,0.0,0.07862340298396084,1.1698867162886017,98.75148988072743
